;	ٿƮ 뺴 ũƮ			
;	"2005/11/11, 2006/11/15 ༺AIε ߰"			
;				
;	ID	̸(30bytes)	AIε	༺AIε
	4050100	ũƮ	1010	801
	4050200		1020	802
	4050300	ũ	1030	803
	4050400	Ʈ	1040	804
	4050500	Ǿ	1050	805
	4050600	̴Ϸ̹	1060	806
	4050700	Űĳ	1070	807
	4050801	񸮾	1080	808
	4050804	񸮾	1080	808
	4050807	񸮾	1080	808
	4050901	¯	1090	809
	4050904	¯	1090	809
	4050907	¯	1090	809
	4051001	KX	1100	810
	4051004	KX	1100	810
	4051007	KX	1100	810
	4051101	ī	1110	811
	4051104	ī	1110	811
	4051107	ī	1110	811
	4051201	۾	1120	812
	4051204	۾	1120	812
	4051207	۾	1120	812
	4051301		1130	813
	4051304		1130	813
	4051307		1130	813
	4051401	׷Ʈ	1140	814
	4051404	׷Ʈ	1140	814
	4051407	׷Ʈ	1140	814
	4051501	򽺿	1150	815
	4051504	򽺿	1150	815
	4051507	򽺿	1150	815
	4051601	ũƮ	1160	816
	4051604	ũƮ	1160	816
	4051607	ũƮ	1160	816
	4051701	ŷ	1170	817
	4051704	ŷ	1170	817
	4051707	ŷ	1170	817
	4051801	ٹٸ	1180	818
	4051804	ٹٸ	1180	818
	4051807	ٹٸ	1180	818
	4051901	мȼ	1190	819
	4051904	мȼ	1190	819
	4051907	мȼ	1190	819
	4052201	±Ǻ	1200	820
	4052204	±Ǻ	1200	820
	4052207	±Ǻ	1200	820
	4052101	̴ũ	1210	821
	4052104	̴ũ	1210	821
	4052107	̴ũ	1210	821
	4052800	򸮾	1070	822
	4052001	ٿƮİ	1220	823
	4052004	ٿƮİ	1220	823
	4052007	ٿƮİ	1220	823
